,custo,erro,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,Theta_fb6,Theta_fb7,Theta_fb8,Theta_fb9,Theta_fb10,Theta_fb11
0,-107.18660234229334,189.7022227904812,6.0,676.013585961876,5.0,1.0,5.0,8.0,1339.8631379379067,6425.986311538422,600.1988765136996,0.0,2247.615458498097,2923.629044459973
1,-114.8790508082213,430.5272277469415,7.0,858.6489209542195,6.0,1.0,6.0,9.0,1917.6814189529166,8478.067693002364,734.2890877456766,0.0,2390.447472887572,3249.0963938417913
2,-171.09785235630287,-158.43846953532326,8.0,802.1118962714509,8.0,0.0,8.0,11.0,2017.1897368177401,9593.14786621057,802.1118962714509,0.0,3046.821532138415,3848.933428409866
3,-147.98869850490604,-565.3899223011501,10.0,927.0211626306208,8.0,2.0,8.0,11.0,2377.3219061026457,11001.899092370764,667.0326464716131,340.57350821553484,3391.5134751702926,4318.5346378009135
4,-187.32743931885977,114.66143669718372,9.0,700.9643790409067,8.0,1.0,8.0,10.0,2314.9890028005025,10874.347931757196,590.703675121459,1551.3966591007108,3895.379561916781,4596.343940957689
5,-138.57798101160708,-633.1303549435097,9.0,761.2409151837895,8.0,1.0,8.0,9.0,2156.9445234159066,10609.97034514954,553.1953753856249,1678.9257828422656,2414.801403997058,3176.042319180848
6,-166.3482015263618,245.61799691710937,9.0,564.0940132312714,9.0,0.0,8.0,8.0,1758.1050363241002,8726.367378004841,516.1446350304841,1499.7204109020538,1654.2653980937396,2218.3594113250106
7,-122.30280101789972,-1210.649355236766,9.0,832.5376873345277,7.0,2.0,6.0,6.0,1864.2656784080636,10539.93377500273,463.45039453207033,876.6963867717839,1401.5179975399303,2234.055684874458
8,882.443478609961,940.0964281431791,8.0,755.1794374826862,8.0,0.0,8.0,8.0,1379.6385435879654,8392.455786683044,755.1794374826862,61.90201523598088,873.7937149613712,1628.9731524440576
9,-106.32863701999484,-81.3773315475003,9.0,939.8442017805745,8.0,1.0,8.0,8.0,1904.7912062979017,10614.550655071787,753.3447550430245,310.60256617513437,269.35164769728254,1209.1958494778569
10,-213.51750511540095,-391.54414575673184,10.0,955.6417030562226,9.0,1.0,9.0,9.0,2140.226045186597,12667.261013181216,809.1306654737367,286.9219373738933,593.1935419942708,1548.8352450504935
11,-183.11116493534425,-731.9999525862072,10.0,1044.8663545548814,7.0,3.0,7.0,7.0,2315.0773812285356,13458.394221480354,606.5920303953562,184.11524768696123,897.342407617733,1942.2087621726143
12,-164.89421353529977,731.7427279281612,9.0,769.661819262752,8.0,1.0,8.0,9.0,1921.3346563162431,10562.73843973013,669.0322686361739,326.31545524329715,691.7241972604781,1461.38601652323
13,-263.7117102871278,808.1309119465011,10.0,996.695298646965,9.0,1.0,9.0,11.0,2505.9152535909225,11797.17625007129,919.006491498341,412.17567805191925,851.6834726463011,1848.3787712932663
14,-211.79078055404563,-580.3827208165671,10.0,1085.105258306172,7.0,3.0,7.0,9.0,2681.2505161171403,12157.462374703733,738.4949171391796,411.3366541685463,-740.1465874113557,344.9586708948164
15,-216.0093976972559,902.9496759852223,9.0,1172.0304555669381,7.0,2.0,7.0,9.0,2708.862908376066,10339.944234975243,883.6279602916442,1128.3415180660309,1223.0656579431532,2395.0961135100915
16,-179.68613713343274,589.817409743581,7.0,1270.2613005632923,6.0,1.0,6.0,9.0,2554.8788810459673,8279.57120791614,1056.4061231950895,150.87996141299593,868.5202515262632,2138.781552089555
17,-213.71084601078434,-1064.2990416826337,8.0,1525.9974679436564,5.0,3.0,5.0,7.0,3000.807728186902,10960.361633480246,951.6891808981497,0.0,-5459.079119288968,-3933.081651345312
18,-190.7825175575119,311.51509868635253,8.0,1163.5035908573695,7.0,1.0,7.0,9.0,2706.0069000353687,10218.51481309325,1057.452190187538,0.0,256.7308407500358,1420.2344316074054
19,-225.97684738103658,-489.92316954072345,10.0,1540.591621932381,7.0,3.0,7.0,9.0,3574.4070762598726,13364.27826069806,886.2213409738628,1236.2762482813516,140.39073255322904,1680.9823544856101
20,-235.3793437572188,-462.81684984946145,9.0,1263.9789586491368,6.0,3.0,6.0,7.0,3030.5708847352225,10339.672535388992,689.578594536365,0.0,972.1236074654842,2236.102566114621
21,-275.4008736719997,-486.17711826942207,9.0,1025.601994850382,7.0,2.0,7.0,8.0,2873.3370349745614,11154.48100171282,691.2144518030851,728.3645144450786,1145.5673519214486,2171.1693467718305
22,-285.4810206978462,183.59529631435322,9.0,1178.2501832529072,7.0,2.0,6.0,9.0,3265.366521494455,13208.050054864205,696.4230875798303,1307.0074756056329,806.255667165067,1984.5058504179742
23,-229.7557691681548,-359.876014987158,8.0,833.6551175484391,6.0,2.0,5.0,6.0,3033.8052000031853,11927.469287755348,417.0713581670804,1076.417911667871,1478.6239344897294,2312.279052038168
24,-144.53230534277924,-1064.9126704250039,7.0,708.2552509012617,4.0,3.0,3.0,4.0,2279.496055512662,9249.663625778358,279.8529522216335,898.2190921601721,1506.0640047577076,2214.3192556589693
25,-39.438534684558775,-530.2798739424734,6.0,1064.7789877051366,4.0,2.0,4.0,5.0,2903.053671460079,14105.681721525867,588.2662602943803,558.8595799780958,1403.1746608633052,2467.953648568442
26,-67.57904760393558,583.7926842908682,6.0,631.6004660835933,4.0,2.0,3.0,4.0,2305.142013763811,10022.364804407045,427.0159659000244,1520.498264346661,-20600.378896787795,-19968.7784307042
27,-25.95653757713262,-1033.8994713672928,4.0,335.9115268362739,2.0,2.0,1.0,1.0,994.8705005701055,4352.1450837407365,107.4948427450415,472.82214605661056,406.0125647418906,741.9240915781645
28,-25.95653757713262,-476.983396562107,3.0,669.2700606959121,3.0,0.0,3.0,6.0,1097.1419323911744,7556.052211861301,669.2700606959121,0.0,483.9218338351303,1153.1918945310424
29,-25.95653757713262,-147.30757060496273,3.0,392.08405657048036,3.0,0.0,3.0,5.0,696.7828822875049,4834.667063727022,392.08405657048036,650.634546999395,563.8786694888818,955.9627260593621
30,-13.341574279315344,83.7887185121033,3.0,330.5281348683941,3.0,0.0,3.0,5.0,451.51337499303304,2683.9627680876856,330.5281348683941,0.0,98.9384707593025,429.4666056276966
31,-49.8400869322185,-374.52071019381697,5.0,855.1345570136239,3.0,2.0,3.0,5.0,1430.0636777029904,6806.607397190823,310.59707078621426,0.0,-816.3783686813938,38.75618833223001
32,-49.8400869322185,179.61917116980553,5.0,717.8692822528428,4.0,1.0,4.0,7.0,1173.3482232113124,6422.150532216513,494.52521687736214,0.0,547.5661793162594,1265.4354615691025
33,-85.9244908915098,-409.8296641222812,6.0,782.7288089439444,4.0,2.0,4.0,7.0,1316.8965984664376,7049.7418178323915,408.7007259858524,0.0,330.4063435217264,1113.1351524656707
34,-148.4977535711744,-480.53966228927936,6.0,742.2003496385287,4.0,2.0,4.0,7.0,1396.7735615326653,7850.300534965909,260.2029724146779,372.4813885476508,674.2762670097026,1416.4766166482311
35,-72.33060752651912,877.345587833016,4.0,532.7262966828287,4.0,0.0,4.0,6.0,1055.624450030457,6188.85973739024,532.7262966828287,0.0,-2142.2095883867637,-1609.4832917039353
36,-84.75198159369866,534.7040879411709,5.0,682.0451806660387,4.0,1.0,4.0,7.0,1476.0834829403107,6699.769006696606,583.8329027838508,307.41243868531035,502.29564849362214,1184.340829159661
37,-115.23142554473831,-85.01906710064483,5.0,670.3009294128813,3.0,2.0,3.0,6.0,1510.8213639067574,6006.803970690569,461.33146551937733,348.34556142535155,470.7057803880748,1141.006709800956
38,-110.9703237015903,12.387543388452286,5.0,828.9586869473994,4.0,1.0,4.0,7.0,1667.797825233788,7316.108022657932,669.0718701124807,0.0,572.9773412497277,1401.9360281971271
39,-133.91178713203814,-163.31994600219292,7.0,1017.7877417889888,5.0,2.0,5.0,8.0,2245.950081131933,9998.339048554646,718.7487982453158,0.0,602.0782196107073,1619.865961399696
40,-167.8148459022154,154.24385519436183,8.0,978.2070990799906,6.0,2.0,6.0,9.0,2361.958060378409,9809.989468685893,728.4238516538177,0.0,915.1873979695675,1893.3944970495581
41,-260.7639745654665,-677.3074146045681,10.0,1038.2858521987105,7.0,3.0,7.0,11.0,2905.8457293442434,13092.506717578402,644.4224737795512,0.0,561.8290034286961,1600.1148556274065
42,-286.36881766465484,-414.01534253982595,11.0,1086.3613451332571,8.0,3.0,8.0,13.0,3311.229538870793,16182.22088304329,711.4371663599796,500.6730818453711,978.724088294939,2065.085433428196
43,-212.347701158037,257.3053194036818,10.0,817.0190705185237,6.0,4.0,6.0,9.0,3236.6470753887197,13307.523784685423,281.7465060392814,2064.7619559117556,1453.6101036637965,2270.62917418232
44,-80.30626207080032,946.1624882325948,7.0,605.1183172933451,5.0,2.0,4.0,6.0,2338.700861183998,8072.491708387997,355.4029496472573,1670.444838854419,969.7570242844047,1574.8753415777496
45,-37.64829269013842,-1889.780561252594,4.0,642.9282856322741,4.0,0.0,4.0,6.0,1121.755166384718,6139.989983218817,642.9282856322741,0.0,277.5203804662575,920.4486660985316
46,-83.6279805250843,-167.44191712082971,5.0,650.290346784511,3.0,2.0,3.0,5.0,1289.6326823041486,5154.545521057012,357.04756439959203,0.0,360.79580771313556,1011.0861544976467
47,-58.04511101495161,1130.4341905406852,4.0,645.3847978253158,4.0,0.0,4.0,6.0,1299.6436773866344,4244.44905065011,645.3847978253158,0.0,449.79509067819015,1095.179888503506
48,-98.8675325088685,-668.6318980197229,6.0,903.1376883296899,5.0,1.0,5.0,7.0,1907.4958881966768,8263.871656517753,687.9154049349012,0.0,822.0138175414983,1725.1515058711882
49,-147.26185219175605,893.5770103863512,7.0,919.928846978535,6.0,1.0,6.0,8.0,2198.7081350575677,7439.443661555993,770.0600248223907,0.0,886.8878135008922,1806.816660479427
